ID,names,masl,s_name,owner,mun,X,Y,From,To,timeOffset,timeResolution
SN18269,OSLO - HAUGENSTUA,123,NA,"OSLO KOMMUNE, VANN- OG AVLØPSETATEN",OSLO,10.905,59.954,2004-04-26T00:00:00.000Z,NA,PT0H,PT1H
SN18700,OSLO - BLINDERN,94,Oslo (Blindern),MET.NO,OSLO,10.72,59.9423,1993-11-07T00:00:00.000Z,NA,PT0H,PT1H
SN19660,E16 SKUI,250,Skui,STATENS VEGVESEN,BÆRUM,10.3855,59.9475,2018-10-09T00:00:00.000Z,NA,PT0H,PT1H
SN18260,OSLO - HØYBRÅTEN,181,Høybråten,"OSLO KOMMUNE, VAV ROSIM",OSLO,10.9257,59.9468,2013-05-30T00:00:00.000Z,NA,PT0H,PT1H
SN27564,SANDEFJORD - MOSSERØD,72,NA,SANDEFJORD KOMMUNE,SANDEFJORD,10.2025,59.1505,1998-12-12T00:00:00.000Z,NA,PT0H,PT1H
SN1070,HVALER - BREKKE,20,HVALER ,HVALER KOMMUNE,HVALER,11.0322,59.0418,2018-06-01T00:00:00.000Z,NA,PT0H,PT1H
SN26990,SANDE - GALLEBERG,60,Sande,NIBIO,HOLMESTRAND,10.215,59.6193,2003-09-18T00:00:00.000Z,NA,PT0H,PT1H
SN26864,DRAMMEN SYKEHUS,25,Drammen sykehus ,DRAMMEN KOMMUNE,DRAMMEN,10.195,59.7497,2012-10-14T00:00:00.000Z,NA,PT0H,PT1H
SN19830,FV289 HURUM,165,Hurum,STATENS VEGVESEN,ASKER,10.4922,59.548,2018-10-09T00:00:00.000Z,NA,PT0H,PT1H
SN26900,DRAMMEN - BERSKOG,8,Berskog,MET.NO,DRAMMEN,10.1237,59.7537,2012-04-11T00:00:00.000Z,NA,PT0H,PT1H
SN19525,BÆRUMS VERK,203,Bærums Verk ,BÆRUM KOMMUNE,BÆRUM,10.515,59.9383,2017-06-27T00:00:00.000Z,NA,PT0H,PT1H
SN27160,HORTEN II,95,Horten,HORTEN KOMMUNE,HORTEN,10.4647,59.4198,2015-06-01T00:00:00.000Z,NA,PT0H,PT1H
SN17650,E6 VESTBY,75,Vestby,STATENS VEGVESEN,VESTBY,10.7395,59.6002,2018-10-09T00:00:00.000Z,NA,PT0H,PT1H
SN30330,GJERPEN - ÅRHUS,41,Gjerpen ,NIBIO,SKIEN,9.5772,59.2268,2013-02-06T00:00:00.000Z,2019-09-30T00:00:00.000Z,PT0H,PT1H
SN3370,ØSAKER,45,Øsaker,NIBIO,SARPSBORG,11.0422,59.3193,2013-02-04T00:00:00.000Z,NA,PT0H,PT1H
SN4590,E16 ROMERIKSÅSEN,415,Romeriksåsen,STATENS VEGVESEN,LUNNER,10.7475,60.2755,2018-10-09T00:00:00.000Z,NA,PT0H,PT1H
SN17895,E18 SVARTSKOG,110,NA,STATENS VEGVESEN,NORDRE FOLLO,10.76,59.794,2018-10-09T00:00:00.000Z,NA,PT0H,PT1H
SN26580,DRAMMEN - BANGELØKKA,14,Bangeløkka ,DRAMMEN KOMMUNE,DRAMMEN,10.2142,59.731,2015-06-16T00:00:00.000Z,NA,PT0H,PT1H
SN30285,SKIEN - BORGEÅSEN,75,Borgeåsen ,SKIEN KOMMUNE,SKIEN,9.6638,59.1642,2019-06-07T00:00:00.000Z,NA,PT0H,PT1H
SN20470,E16 BEKKEHALLUM,385,Bekkehallum,STATENS VEGVESEN,LUNNER,10.5295,60.2822,2018-10-09T00:00:00.000Z,NA,PT0H,PT1H
SN26840,KROKSTADELVA - LANGELØKKA,139,Langeløkka ,NEDRE EIKER KOMMUNE,DRAMMEN,10.0123,59.7658,2015-03-12T00:00:00.000Z,NA,PT0H,PT1H
SN18245,OSLO - AMMERUD,201,Ammerud,"OSLO KOMMUNE, VAV ROSIM",OSLO,10.8737,59.9652,2013-12-31T00:00:00.000Z,NA,PT0H,PT1H
SN27540,SANDEFJORD - GJEKSTAD,10,Gjekstad,SANDEFJORD KOMMUNE,SANDEFJORD,10.2558,59.1312,2017-10-30T00:00:00.000Z,NA,PT0H,PT1H
SN19510,ØVREVOLL,123,Øvrevoll,BÆRUM KOMMUNE,BÆRUM,10.6227,59.94046,1967-05-19T00:00:00.000Z,NA,PT0H,PT1H
